Categoria,Evaluación,Amabilidad,Asesorias,Rapidez,Comentarios
Docente,8,Neutral,Muy Bueno,Muy Malo,"Los libros y préstamos de ellos son buenos y los que atienden igual, también sus instalaciones son buenas, sin embargo se llena de alumnos de preparatoria que no van a estudiar o a dar buen uso de ella y solo van a molestar a los alumnos que si están estudiándolos trabajadores en biblioteca son amables y hacen todo lo que está¡ a su alcance, pero definitivamente falta"
Alumno,6,Neutral,Muy Bueno,Neutral,Mejorar el internet
Docente,4,Muy Bueno,Muy Bueno,Bueno,Mas personal y que corran a las personas que se la pasan platicando y haciendo ruido ya que la biblioteca es un lugar para estudiar y realizar tareas o trabajos
Alumno,8,Neutral,Malo,Neutral,Me gustaría que hubiera más variedad de libros
Docente,0,Muy Bueno,Malo,Malo,Mejorar la actitud
Docente,8,Muy Bueno,Muy Bueno,Malo,Muy buena
Personal Administrativo,9,Bueno,Muy Malo,Muy Bueno,a veces no me dejan pasar al arena de libros y yo solo quiero tomar agua
Alumno,9,Bueno,Bueno,Bueno,"Nada, todo bien"
Otro,5,Bueno,Muy Malo,Muy Bueno,abran temprano
Personal Administrativo,9,Malo,Bueno,Malo,"Nada, todo bien"
Docente,8,Muy Malo,Bueno,Malo,"Dar más das para renovar que no sea cada dos das, que sean unos 3 o 4 das"
Personal Administrativo,4,Muy Bueno,Muy Bueno,Bueno,Deberían de cambiar los muebles que hay ahí
Docente,4,Bueno,Muy Malo,Bueno,"Falta más personal de servicios muy difícil acceder Excelente servicio hacen falta mas libros electrónicos de las Áreas de microbióloga, , atlas de microbióloga, , farmacología"
Personal Administrativo,3,Bueno,Muy Bueno,Bueno,Bien
Alumno,1,Malo,Malo,Muy Bueno,Podrían mejorar el horario de servicio
Otro,4,Muy Bueno,Bueno,Muy Malo,Muy bonito todo
Alumno,8,Muy Malo,Malo,Neutral,"Dar más das para renovar que no sea cada dos das, que sean unos 3 o 4 das"
Docente,9,Bueno,Bueno,Malo,"Cada que se quiere consultar algo, sale un texto que se revise el número de impresiones, lo cual nunca se puede consultar nada"
Personal Administrativo,4,Neutral,Malo,Malo,a veces no me dejan pasar al arena de libros y yo solo quiero tomar agua
Docente,9,Neutral,Neutral,Malo,No encontrar el libro que buscaba
Docente,7,Neutral,Bueno,Muy Bueno,Me gustaría que hubiera más variedad de libros
Personal Administrativo,7,Muy Bueno,Muy Bueno,Muy Malo,Muy bonito todo
Alumno,2,Muy Malo,Neutral,Neutral,"Los alumnos de preparatoria siempre están haciendo mucho ruido en biblioteca, es muy molesto y no nos deja estudiar"
Personal Administrativo,9,Neutral,Malo,Malo,"No me permiten ingresar para leer, cuando a los de uni si se lo permiten"
Otro,9,Neutral,Muy Bueno,Muy Malo,Muy bonito todo
Otro,7,Muy Malo,Bueno,Muy Bueno,"añadir libros más actualizados,  eso pues en cantidad de libros hay mucho"
Otro,5,Malo,Bueno,Muy Bueno,"Dar más das para renovar que no sea cada dos das, que sean unos 3 o 4 das"
Docente,6,Malo,Muy Malo,Muy Bueno,Muy bonito todo
Docente,7,Malo,Malo,Bueno,"Como, una sugerencia, sugiero que en el préstamo de libros dentro de la biblioteca, hubiera otra forma de adquirirlos, debido que en temporada de exámenes las usamos y las tenemos ocupadas en biblioteca"
Personal Administrativo,0,Muy Malo,Malo,Muy Bueno,Me atendieron de una forma muy grosera
Docente,8,Muy Bueno,Malo,Malo,"Los libros y préstamos de ellos son buenos y los que atienden igual, también sus instalaciones son buenas, sin embargo se llena de alumnos de preparatoria que no van a estudiar o a dar buen uso de ella y solo van a molestar a los alumnos que si están estudiándolos trabajadores en biblioteca son amables y hacen todo lo que está¡ a su alcance, pero definitivamente falta"
Personal Administrativo,9,Neutral,Neutral,Neutral,Mejorar la actitud
Personal Administrativo,8,Neutral,Muy Bueno,Bueno,Podrían mejorar el horario de servicio
Personal Administrativo,7,Muy Bueno,Bueno,Neutral,Deberían de cambiar los muebles que hay ahí
Docente,8,Neutral,Malo,Malo,"Cada que se quiere consultar algo, sale un texto que se revise el número de impresiones, lo cual nunca se puede consultar nada"
Alumno,5,Bueno,Malo,Neutral,Muy bonito todo
Otro,9,Malo,Muy Malo,Muy Malo,"Los alumnos de preparatoria siempre están haciendo mucho ruido en biblioteca, es muy molesto y no nos deja estudiar"
Personal Administrativo,0,Bueno,Malo,Bueno,"No me permiten ingresar para leer, cuando a los de uni si se lo permiten"
Otro,7,Bueno,Malo,Muy Bueno,abran temprano
Docente,6,Malo,Malo,Muy Malo,"Falta más personal de servicios muy difícil acceder Excelente servicio hacen falta mas libros electrónicos de las Áreas de microbióloga, , atlas de microbióloga, , farmacología"
Personal Administrativo,4,Malo,Malo,Muy Malo,Avisos recurrentes de como utilizar la biblioteca
Otro,9,Bueno,Bueno,Muy Bueno,Podrían mejorar el horario de servicio
Personal Administrativo,3,Muy Bueno,Muy Bueno,Malo,"Todo muy bien, el ambiente es agradable"
Docente,7,Malo,Malo,Malo,No encontrar el libro que buscaba
Personal Administrativo,2,Muy Bueno,Bueno,Muy Malo,"Los alumnos de preparatoria siempre están haciendo mucho ruido en biblioteca, es muy molesto y no nos deja estudiar"
Docente,7,Muy Bueno,Bueno,Malo,Muy bonito todo
Otro,5,Malo,Muy Bueno,Muy Bueno,Deberían de cambiar los muebles que hay ahí
Personal Administrativo,7,Bueno,Neutral,Malo,a veces no me dejan pasar al arena de libros y yo solo quiero tomar agua
Alumno,0,Neutral,Malo,Neutral,"Cada que se quiere consultar algo, sale un texto que se repaso el número de impresiones, lo cual nunca se puede consultar nada"
Personal Administrativo,8,Muy Bueno,Neutral,Muy Bueno,"Los libros y préstamos de ellos son buenos y los que atienden igual, también sus instalaciones son buenas, sin embargo se llena de alumnos de preparatoria que no van a estudiar o a dar buen uso de ella y solo van a molestar a los alumnos que si están estudiándolos trabajadores en biblioteca son amables y hacen todo lo que está¡ a su alcance, pero definitivamente falta"
Personal Administrativo,7,Muy Malo,Neutral,Neutral,"Falta más personal de servicios muy difícil acceder Excelente servicio hacen falta mas libros electrónicos de las Áreas de microbióloga, , atlas de microbióloga, , farmacología"
Alumno,0,Muy Malo,Neutral,Muy Bueno,Deberían de cambiar los muebles que hay ahí
Personal Administrativo,7,Malo,Neutral,Malo,Mas personal y que corran a las personas que se la pasan platicando y haciendo ruido ya que la biblioteca es un lugar para estudiar y realizar tareas o trabajos
Otro,6,Bueno,Neutral,Malo,"Falta más personal de servicios muy difícil acceder Excelente servicio hacen falta mas libros electrÃ³nicos de las Áreas de microbióloga, , atlas de microbióloga, , farmacología"
Otro,3,Malo,Muy Bueno,Bueno,"Dar más das para renovar que no sea cada dos das, que sean unos 3 o 4 das"
Otro,4,Bueno,Neutral,Muy Malo,Me gustaría que hubiera más variedad de libros
Otro,9,Malo,Neutral,Bueno,Bien
Docente,5,Muy Malo,Neutral,Neutral,Mejorar el internet
